Longitude,Latitude,RelativeDensity
22.50,43.00,0.14583
23.00,43.00,0.14583
23.50,43.00,0.14583
24.00,43.00,0.14583
24.50,43.00,0.10417
25.00,43.00,0.10417
25.50,43.00,0.10417
26.00,43.00,0.04167
26.50,43.00,0.04167
27.00,43.00,0.04167
27.50,43.00,0.04167
28.00,43.00,0.00000
-8.00,43.50,0.00000
-7.50,43.50,0.00000
-7.00,43.50,0.00000
-6.50,43.50,0.00000
-6.00,43.50,0.00000
-5.50,43.50,0.00000
-5.00,43.50,0.00000
-1.00,43.50,0.00000
-0.50,43.50,0.00000
0.00,43.50,0.00000
0.50,43.50,0.00000
1.00,43.50,0.00000
1.50,43.50,0.00000
2.00,43.50,0.00000
2.50,43.50,0.00000
3.00,43.50,0.00000
3.50,43.50,0.00000
4.00,43.50,0.00000
4.50,43.50,0.00000
5.00,43.50,0.00000
5.50,43.50,0.00000
6.00,43.50,0.00000
6.50,43.50,0.00000
7.00,43.50,0.00000
11.00,43.50,0.04167
11.50,43.50,0.04167
12.00,43.50,0.10417
12.50,43.50,0.10417
13.00,43.50,0.14583
13.50,43.50,0.14583
17.00,43.50,0.25000
17.50,43.50,0.25000
18.00,43.50,0.25000
18.50,43.50,0.25000
19.00,43.50,0.25000
19.50,43.50,0.25000
20.00,43.50,0.25000
20.50,43.50,0.25000
21.00,43.50,0.25000
21.50,43.50,0.25000
22.00,43.50,0.25000
22.50,43.50,0.25000
23.00,43.50,0.20833
23.50,43.50,0.20833
24.00,43.50,0.14583
24.50,43.50,0.14583
25.00,43.50,0.14583
25.50,43.50,0.10417
26.00,43.50,0.10417
26.50,43.50,0.04167
27.00,43.50,0.04167
27.50,43.50,0.04167
28.00,43.50,0.04167
28.50,43.50,0.00000
-1.00,44.00,0.00000
-0.50,44.00,0.00000
0.00,44.00,0.00000
0.50,44.00,0.00000
1.00,44.00,0.00000
1.50,44.00,0.00000
2.00,44.00,0.00000
2.50,44.00,0.00000
3.00,44.00,0.00000
3.50,44.00,0.00000
4.00,44.00,0.00000
4.50,44.00,0.00000
5.00,44.00,0.00000
5.50,44.00,0.00000
6.00,44.00,0.00000
6.50,44.00,0.00000
7.00,44.00,0.00000
7.50,44.00,0.00000
8.00,44.00,0.00000
10.50,44.00,0.10417
11.00,44.00,0.10417
11.50,44.00,0.10417
12.00,44.00,0.14583
12.50,44.00,0.15000
16.00,44.00,0.20208
16.50,44.00,0.25000
21.00,44.00,0.25000
21.50,44.00,0.25000
22.00,44.00,0.25000
22.50,44.00,0.25000
23.00,44.00,0.25000
23.50,44.00,0.25000
24.00,44.00,0.20833
24.50,44.00,0.20833
25.00,44.00,0.14583
25.50,44.00,0.14583
26.00,44.00,0.10417
26.50,44.00,0.10417
27.00,44.00,0.04167
27.50,44.00,0.04167
28.00,44.00,0.04167
28.50,44.00,0.00000
-1.00,44.50,0.00000
-0.50,44.50,0.00000
0.00,44.50,0.00000
0.50,44.50,0.00000
1.00,44.50,0.00000
1.50,44.50,0.00000
2.00,44.50,0.00000
2.50,44.50,0.00000
3.00,44.50,0.00000
3.50,44.50,0.00000
4.00,44.50,0.00000
4.50,44.50,0.00000
5.00,44.50,0.00000
5.50,44.50,0.00000
6.00,44.50,0.00000
6.50,44.50,0.00000
7.00,44.50,0.00000
7.50,44.50,0.00000
8.00,44.50,0.04167
8.50,44.50,0.04167
9.00,44.50,0.04167
9.50,44.50,0.10417
10.00,44.50,0.10417
10.50,44.50,0.14583
11.00,44.50,0.14583
11.50,44.50,0.20833
12.00,44.50,0.25000
22.50,44.50,0.25000
23.00,44.50,0.25000
23.50,44.50,0.25000
24.00,44.50,0.25000
24.50,44.50,0.20833
25.00,44.50,0.20833
25.50,44.50,0.14583
26.00,44.50,0.10417
26.50,44.50,0.10417
27.00,44.50,0.05625
27.50,44.50,0.04167
28.00,44.50,0.04167
28.50,44.50,0.00000
29.00,44.50,0.00000
-0.50,45.00,0.00000
0.00,45.00,0.00000
0.50,45.00,0.00000
1.00,45.00,0.00000
1.50,45.00,0.00000
2.00,45.00,0.00000
2.50,45.00,0.00000
3.00,45.00,0.00000
3.50,45.00,0.00000
4.00,45.00,0.00000
4.50,45.00,0.00000
5.00,45.00,0.00000
5.50,45.00,0.00000
6.00,45.00,0.00000
6.50,45.00,0.00000
7.00,45.00,0.04167
7.50,45.00,0.04167
8.00,45.00,0.04167
8.50,45.00,0.10417
9.00,45.00,0.10417
9.50,45.00,0.14583
10.00,45.00,0.20833
10.50,45.00,0.20833
11.00,45.00,0.25000
11.50,45.00,0.25000
12.00,45.00,0.25000
15.50,45.00,0.45833
16.00,45.00,0.45833
16.50,45.00,0.50000
17.00,45.00,0.50000
17.50,45.00,0.50000
18.00,45.00,0.50000
18.50,45.00,0.50000
19.00,45.00,0.50000
19.50,45.00,0.45833
20.00,45.00,0.45833
20.50,45.00,0.39583
23.00,45.00,0.25000
23.50,45.00,0.25000
24.00,45.00,0.25000
24.50,45.00,0.25000
25.00,45.00,0.20833
25.50,45.00,0.14583
26.00,45.00,0.14583
26.50,45.00,0.10417
27.00,45.00,0.10417
27.50,45.00,0.04167
28.00,45.00,0.04167
28.50,45.00,0.00000
29.00,45.00,0.00000
29.50,45.00,0.00000
30.00,45.00,0.00000
-0.50,45.50,0.00000
0.00,45.50,0.00000
0.50,45.50,0.00000
1.00,45.50,0.00000
1.50,45.50,0.00000
2.00,45.50,0.00000
2.50,45.50,0.00000
3.00,45.50,0.00000
3.50,45.50,0.00000
4.00,45.50,0.00000
4.50,45.50,0.00000
5.00,45.50,0.00000
5.50,45.50,0.00000
6.00,45.50,0.03958
6.50,45.50,0.04167
7.00,45.50,0.04167
7.50,45.50,0.10417
8.00,45.50,0.10417
8.50,45.50,0.14583
9.00,45.50,0.20833
